Episode,Time_Taken,Accuracy,Energy_Consumed,Success,Timestamp
1,60.0200,0.0000,0.0000,0,2026-03-13 00:49:19
2,51.4800,0.5096,0.0000,1,2026-03-13 00:50:07
3,60.0200,0.1474,0.0000,0,2026-03-13 00:50:54
4,60.0200,0.2237,0.0000,0,2026-03-13 00:51:39
5,60.0200,0.0000,0.0000,0,2026-03-13 00:52:27
6,8.7400,0.0000,0.0000,0,2026-03-13 00:52:37
7,9.8200,0.0000,0.0000,0,2026-03-13 00:52:42
8,60.0200,0.0000,0.0000,0,2026-03-13 00:53:30
9,60.0200,0.2757,0.0000,0,2026-03-13 00:54:20
10,60.0200,0.0000,0.0000,0,2026-03-13 00:55:11
11,30.7200,0.4899,0.0000,1,2026-03-13 00:55:38
12,60.0200,0.0000,0.0000,0,2026-03-13 00:56:29
13,22.2000,0.5558,0.0000,1,2026-03-13 00:56:46
14,60.0200,0.0000,0.0000,0,2026-03-13 00:57:36
15,60.0200,0.1755,0.0000,0,2026-03-13 00:58:26
16,60.0200,0.0000,0.0000,0,2026-03-13 00:59:12
17,60.0200,0.4724,0.0000,0,2026-03-13 01:00:01
18,60.0200,0.0000,0.0000,0,2026-03-13 01:00:51
19,22.7400,0.6749,0.0000,1,2026-03-13 01:01:09
20,60.0200,0.4331,0.0000,0,2026-03-13 01:01:59
21,60.0001,0.0000,0.0000,0,2026-03-13 01:02:50
22,14.6799,0.4401,0.0000,1,2026-03-13 01:03:03
23,13.5800,0.5709,0.0000,1,2026-03-13 01:03:16
24,17.5599,0.5118,0.0000,1,2026-03-13 01:03:32
25,60.0200,0.0000,0.0000,0,2026-03-13 01:04:22
26,60.0200,0.4703,0.0000,0,2026-03-13 01:05:08
27,12.7400,0.6201,0.0000,1,2026-03-13 01:05:20
28,14.2600,0.7548,0.0000,1,2026-03-13 01:05:34
29,13.2999,0.6108,0.0000,1,2026-03-13 01:05:47
30,14.3001,0.4718,0.0000,1,2026-03-13 01:05:58
31,12.6801,0.7401,0.0000,1,2026-03-13 01:06:12
32,16.8600,0.6941,0.0000,1,2026-03-13 01:06:30
33,17.9000,0.6723,0.0000,1,2026-03-13 01:06:47
34,12.9800,0.5736,0.0000,1,2026-03-13 01:06:56
35,8.0601,0.0000,0.0000,0,2026-03-13 01:07:07
36,15.6200,0.6662,0.0000,1,2026-03-13 01:07:24
37,14.0399,0.7578,0.0000,1,2026-03-13 01:07:35
38,11.4601,0.6903,0.0000,1,2026-03-13 01:07:49
39,17.7200,0.7186,0.0000,1,2026-03-13 01:08:07
40,13.8601,0.6232,0.0000,1,2026-03-13 01:08:23
41,60.0200,0.4685,0.0000,0,2026-03-13 01:09:18
42,18.4401,0.7614,0.0000,1,2026-03-13 01:09:36
43,8.5400,0.7145,0.0000,1,2026-03-13 01:09:48
44,60.0200,0.4494,0.0000,0,2026-03-13 01:10:45
45,14.6600,0.5398,0.0000,1,2026-03-13 01:11:01
46,11.0400,0.7667,0.0000,1,2026-03-13 01:11:10
47,10.5000,0.6783,0.0000,1,2026-03-13 01:11:22
48,11.6000,0.5377,0.0000,1,2026-03-13 01:11:30
49,8.9800,0.6738,0.0000,1,2026-03-13 01:11:41
50,60.0199,0.4587,0.0000,0,2026-03-13 01:12:36
51,11.4801,0.5225,0.0000,1,2026-03-13 01:12:44
52,8.9399,0.6696,0.0000,1,2026-03-13 01:12:55
53,7.0200,0.7440,0.0000,1,2026-03-13 01:13:01
54,60.0200,0.4711,0.0000,0,2026-03-13 01:13:56
55,10.4800,0.7234,0.0000,1,2026-03-13 01:14:03
56,12.5400,0.5902,0.0000,1,2026-03-13 01:14:16
57,9.2400,0.7743,0.0000,1,2026-03-13 01:14:28
58,7.2001,0.6361,0.0000,1,2026-03-13 01:14:33
59,10.9200,0.7638,0.0000,1,2026-03-13 01:14:46
60,8.8400,0.5983,0.0000,1,2026-03-13 01:14:53
61,7.5399,0.7255,0.0000,1,2026-03-13 01:15:04
62,9.6001,0.7900,0.0000,1,2026-03-13 01:15:11
63,6.9000,0.7672,0.0000,1,2026-03-13 01:15:17
64,12.6200,0.5148,0.0000,1,2026-03-13 01:15:31
65,15.1400,0.6846,0.0000,1,2026-03-13 01:15:47
66,12.7600,0.6551,0.0000,1,2026-03-13 01:16:02
67,8.5798,0.7282,0.0000,1,2026-03-13 01:40:10
68,10.6799,0.7481,0.0000,1,2026-03-13 01:40:17
69,11.0400,0.7939,0.0000,1,2026-03-13 01:40:28
70,11.0400,0.8507,0.0000,1,2026-03-13 01:40:38
71,9.2002,0.5260,0.0000,1,2026-03-13 01:40:44
72,10.0601,0.5131,0.0000,1,2026-03-13 01:40:55
73,12.9199,0.5998,0.0000,1,2026-03-13 01:41:03
74,10.0601,0.5906,0.0000,1,2026-03-13 01:41:13
75,11.5200,0.7064,0.0000,1,2026-03-13 01:41:24
76,8.0801,0.4478,0.0000,1,2026-03-13 01:41:30
77,8.8801,0.5837,0.0000,1,2026-03-13 01:41:35
78,10.8001,0.3823,0.0000,1,2026-03-13 01:41:46
79,14.0801,0.4833,0.0000,1,2026-03-13 01:41:58
80,6.3801,0.6835,0.0000,1,2026-03-13 01:42:03
81,7.0000,0.8528,0.0000,1,2026-03-13 01:42:11
82,8.9800,0.6771,0.0000,1,2026-03-13 01:42:17
83,5.8999,0.6493,0.0000,1,2026-03-13 01:42:21
84,8.4199,0.8829,0.0000,1,2026-03-13 01:42:30
85,10.7200,0.8681,0.0000,1,2026-03-13 01:42:37
86,6.3599,0.6218,0.0000,1,2026-03-13 01:42:45
87,7.5801,0.8321,0.0000,1,2026-03-13 01:42:50
88,10.4800,0.8291,0.0000,1,2026-03-13 01:43:01
89,7.9199,0.7110,0.0000,1,2026-03-13 01:43:06
90,9.7000,0.8664,0.0000,1,2026-03-13 01:43:16
91,9.3801,0.8587,0.0000,1,2026-03-13 01:43:22
92,11.0601,0.7682,0.0000,1,2026-03-13 01:43:33
93,11.6201,0.6632,0.0000,1,2026-03-13 01:43:40
94,8.5798,0.8327,0.0000,1,2026-03-13 01:43:49
95,6.0798,0.8420,0.0000,1,2026-03-13 01:43:54
96,8.2800,0.6071,0.0000,1,2026-03-13 01:44:03
97,7.8201,0.5084,0.0000,1,2026-03-13 01:44:08
98,10.2798,0.6970,0.0000,1,2026-03-13 01:44:18
99,8.6602,0.4913,0.0000,1,2026-03-13 01:44:24
100,10.8601,0.8477,0.0000,1,2026-03-13 01:44:35
101,6.8799,0.4386,0.0000,1,2026-03-13 01:44:39
102,8.1199,0.6570,0.0000,1,2026-03-13 01:44:49
103,7.8599,0.7577,0.0000,1,2026-03-13 01:44:54
104,6.4199,0.6602,0.0000,1,2026-03-13 01:44:58
105,13.8398,0.7342,0.0000,1,2026-03-13 01:45:11
106,8.3198,0.7254,0.0000,1,2026-03-13 01:45:20
107,12.9600,0.7416,0.0000,1,2026-03-13 01:45:28
108,9.3198,0.5540,0.0000,1,2026-03-13 01:45:38
109,14.2002,0.4210,0.0000,1,2026-03-13 01:46:17
110,12.8203,0.4742,0.0000,1,2026-03-13 01:49:02
111,10.1401,0.8791,0.0000,1,2026-03-13 01:49:08
112,7.3999,0.6510,0.0000,1,2026-03-13 01:49:17
113,7.6201,0.8617,0.0000,1,2026-03-13 01:49:36
114,9.9199,0.2353,0.0000,1,2026-03-13 01:49:46
115,9.7803,0.8557,0.0000,1,2026-03-13 02:59:03
116,6.3604,0.3887,0.0000,1,2026-03-13 02:59:07
117,11.8193,0.6587,0.0000,1,2026-03-13 03:47:17
118,6.9004,0.4148,0.0000,1,2026-03-13 03:47:22
119,7.8604,0.5370,0.0000,1,2026-03-13 03:47:31
120,6.6406,0.6204,0.0000,1,2026-03-13 03:47:44
121,6.0996,0.4337,0.0000,1,2026-03-13 05:59:17
122,12.9004,0.8100,0.0000,1,2026-03-13 05:59:28
123,14.2188,0.8466,0.0000,1,2026-03-13 05:59:41
124,8.9199,0.8653,0.0000,1,2026-03-13 05:59:58
125,6.5586,0.8568,0.0000,1,2026-03-13 06:00:03
126,8.1387,0.8800,0.0000,1,2026-03-13 06:00:13
127,12.7402,0.8568,0.0000,1,2026-03-13 06:00:21
128,9.2793,0.8424,0.0000,1,2026-03-13 06:00:31
129,12.8008,0.8653,0.0000,1,2026-03-13 06:00:39
130,11.6992,0.8544,0.0000,1,2026-03-13 06:00:50
131,6.6406,0.5573,0.0000,1,2026-03-13 06:00:54
132,10.9590,0.5027,0.0000,1,2026-03-13 06:01:05
133,10.5996,0.8817,0.0000,1,2026-03-13 06:01:59
134,5.9805,0.5137,0.0000,1,2026-03-13 06:02:06
135,13.4199,0.8649,0.0000,1,2026-03-13 06:05:01
136,8.0000,0.7787,0.0000,1,2026-03-13 06:05:06
137,5.9199,0.6279,0.0000,1,2026-03-13 06:38:47
138,10.3398,0.8727,0.0000,1,2026-03-13 06:38:53
139,8.6582,0.6087,0.0000,1,2026-03-13 06:39:03
140,8.4609,0.8588,0.0000,1,2026-03-13 06:39:08
141,11.7402,0.8570,0.0000,1,2026-03-13 06:39:20
142,10.8984,0.7575,0.0000,1,2026-03-13 06:39:31
143,8.1797,0.8465,0.0000,1,2026-03-13 06:39:36
144,6.1406,0.3404,0.0000,1,2026-03-13 06:39:40
145,13.0606,0.5922,0.0000,1,2026-03-13 06:39:52
146,10.8398,0.7099,0.0000,1,2026-03-13 06:40:04
147,8.7207,0.8737,0.0000,1,2026-03-13 06:40:10
148,12.3008,0.6165,0.0000,1,2026-03-13 06:40:21
149,5.5391,0.6470,0.0000,1,2026-03-13 06:40:25
150,10.2207,0.6939,0.0000,1,2026-03-13 06:40:42
151,9.5801,0.5762,0.0000,1,2026-03-13 06:40:54
152,6.4395,0.3623,0.0000,1,2026-03-13 06:40:58
153,10.4199,0.6171,0.0000,1,2026-03-13 06:41:08
154,7.5215,0.7146,0.0000,1,2026-03-13 06:41:14
155,10.7383,0.6610,0.0000,1,2026-03-13 06:41:24
156,10.8984,0.6582,0.0000,1,2026-03-13 06:41:31
157,7.5605,0.7197,0.0000,1,2026-03-13 07:13:26
158,12.1602,0.8762,0.0000,1,2026-03-13 07:13:35
