Episode,Time_Taken,Accuracy,Energy_Consumed,Success,Timestamp
1,29.6516,0.0734,19.9765,0,2026-03-12 09:00:02
2,31.1634,0.0000,17.9847,0,2026-03-12 09:00:04
3,36.3798,0.1478,20.3275,0,2026-03-12 09:00:06
4,43.4455,0.0022,17.2100,0,2026-03-12 09:00:08
5,25.6892,0.6005,17.9285,1,2026-03-12 09:00:10
6,28.6910,0.5499,17.7616,1,2026-03-12 09:00:12
7,36.4226,0.0578,19.2419,0,2026-03-12 09:00:14
8,52.5714,0.0499,16.5465,0,2026-03-12 09:00:16
9,28.3815,0.5603,16.7547,1,2026-03-12 09:00:18
10,37.8853,0.0689,18.3863,0,2026-03-12 09:00:20
11,25.6098,0.5434,17.3625,1,2026-03-12 09:00:22
12,26.2581,0.6617,17.6786,1,2026-03-12 09:00:24
13,29.6770,0.0000,17.7486,0,2026-03-12 09:00:26
14,46.4718,0.0000,17.3991,0,2026-03-12 09:00:28
15,42.6566,0.1249,19.4531,0,2026-03-12 09:00:30
16,43.9759,0.2268,18.7162,0,2026-03-12 09:00:32
17,32.6337,0.2023,19.6603,0,2026-03-12 09:00:34
18,52.9509,0.0119,18.0586,0,2026-03-12 09:00:36
19,48.4903,0.0000,15.7424,0,2026-03-12 09:00:38
20,33.4631,0.2085,18.2334,0,2026-03-12 09:00:40
21,42.7589,0.0204,15.8064,0,2026-03-12 09:00:42
22,28.1979,0.5643,15.6327,1,2026-03-12 09:00:44
23,27.1845,0.7032,15.3358,1,2026-03-12 09:00:46
24,51.3374,0.0228,17.4586,0,2026-03-12 09:00:48
25,51.4917,0.0000,18.3187,0,2026-03-12 09:00:50
26,25.7263,0.7082,17.2772,1,2026-03-12 09:00:52
27,49.2069,0.1404,17.2312,0,2026-03-12 09:00:54
28,29.8833,0.1045,18.9453,0,2026-03-12 09:00:56
29,43.7069,0.2603,17.8952,0,2026-03-12 09:00:58
30,33.9444,0.1177,17.4907,0,2026-03-12 09:01:00
31,26.8581,0.7142,14.2854,1,2026-03-12 09:01:02
32,39.5856,0.1012,16.0065,0,2026-03-12 09:01:04
33,30.7213,0.0000,16.5186,0,2026-03-12 09:01:06
34,42.5135,0.0761,14.4945,0,2026-03-12 09:01:08
35,25.4808,0.7264,14.0115,1,2026-03-12 09:01:10
36,52.7056,0.0000,14.9256,0,2026-03-12 09:01:12
37,24.4447,0.6885,15.8209,1,2026-03-12 09:01:14
38,29.8261,0.2356,14.8559,0,2026-03-12 09:01:16
39,37.7327,0.0507,17.9571,0,2026-03-12 09:01:18
40,34.8420,0.0000,14.9060,0,2026-03-12 09:01:20
41,26.0255,0.7359,13.6087,1,2026-03-12 09:01:22
42,35.3939,0.1702,17.1333,0,2026-03-12 09:01:24
43,23.5632,0.6762,16.4912,1,2026-03-12 09:01:26
44,47.9476,0.0000,17.4917,0,2026-03-12 09:01:28
45,24.2191,0.6026,13.8273,1,2026-03-12 09:01:30
46,23.8957,0.6843,16.4027,1,2026-03-12 09:01:32
47,22.8408,0.6903,12.8329,1,2026-03-12 09:01:34
48,49.7375,0.0754,15.0590,0,2026-03-12 09:01:36
49,24.9811,0.6969,13.2932,1,2026-03-12 09:01:38
50,31.0478,0.2699,15.3943,0,2026-03-12 09:01:40
51,23.5575,0.6560,13.0175,1,2026-03-12 09:01:42
52,21.8284,0.6490,13.8487,1,2026-03-12 09:01:44
53,44.2605,0.0410,15.8281,0,2026-03-12 09:01:46
54,38.3017,0.2540,14.7518,0,2026-03-12 09:01:48
55,23.6677,0.6879,12.3401,1,2026-03-12 09:01:50
56,22.8724,0.7310,14.8021,1,2026-03-12 09:01:52
57,49.8666,0.0747,15.3318,0,2026-03-12 09:01:54
58,21.6172,0.6492,14.9508,1,2026-03-12 09:01:56
59,24.5517,0.6345,12.3639,1,2026-03-12 09:01:58
60,22.6778,0.6982,15.5313,1,2026-03-12 09:02:00
61,22.8285,0.6613,14.6847,1,2026-03-12 09:02:02
62,46.6172,0.0698,13.7610,0,2026-03-12 09:02:04
63,23.2361,0.7006,11.9183,1,2026-03-12 09:02:06
64,39.6495,0.0573,14.4191,0,2026-03-12 09:02:08
65,21.8122,0.6893,12.3383,1,2026-03-12 09:02:10
66,50.7806,0.1521,14.8650,0,2026-03-12 09:02:12
67,51.8340,0.0345,16.3216,0,2026-03-12 09:02:14
68,39.0241,0.2677,15.6518,0,2026-03-12 09:02:16
69,24.0677,0.7377,13.0114,1,2026-03-12 09:02:18
70,40.2584,0.3588,12.5499,0,2026-03-12 09:02:20
71,20.9660,0.7913,14.3040,1,2026-03-12 09:02:22
72,22.9345,0.7949,13.3351,1,2026-03-12 09:02:24
73,32.4866,0.3573,12.8410,0,2026-03-12 09:02:26
74,39.1135,0.0517,14.7203,0,2026-03-12 09:02:28
75,34.0164,0.1660,16.4387,0,2026-03-12 09:02:30
76,22.5421,0.7274,13.5741,1,2026-03-12 09:02:32
77,22.9720,0.7497,11.2002,1,2026-03-12 09:02:34
78,42.3857,0.3245,16.0280,0,2026-03-12 09:02:36
79,46.2929,0.0877,15.5120,0,2026-03-12 09:02:38
80,48.4667,0.2919,14.2417,0,2026-03-12 09:02:40
81,19.9489,0.8023,10.6937,1,2026-03-12 09:02:42
82,21.3069,0.6791,10.7798,1,2026-03-12 09:02:44
83,20.9987,0.7636,10.2904,1,2026-03-12 09:02:46
84,22.1068,0.7651,10.9152,1,2026-03-12 09:02:48
85,21.7831,0.8113,11.7271,1,2026-03-12 09:02:50
86,21.0005,0.7033,12.8913,1,2026-03-12 09:02:52
87,19.6604,0.7200,11.9398,1,2026-03-12 09:02:54
88,44.8389,0.1216,14.8492,0,2026-03-12 09:02:56
89,19.7695,0.7161,12.0836,1,2026-03-12 09:02:58
90,20.3970,0.8014,13.5113,1,2026-03-12 09:03:00
91,20.9902,0.7886,13.7987,1,2026-03-12 09:03:02
92,20.3790,0.7378,12.7099,1,2026-03-12 09:03:04
93,20.1983,0.8004,12.0047,1,2026-03-12 09:03:06
94,37.0299,0.3826,13.8415,0,2026-03-12 09:03:08
95,50.6845,0.0972,12.9179,0,2026-03-12 09:03:10
96,19.0549,0.7050,13.4680,1,2026-03-12 09:03:12
97,19.7963,0.7334,9.8391,1,2026-03-12 09:03:14
98,20.2605,0.8267,11.5849,1,2026-03-12 09:03:16
99,29.1887,0.1412,15.0233,0,2026-03-12 09:03:18
100,19.9136,0.8288,12.6624,1,2026-03-12 09:03:20
101,29.9230,0.3282,14.5959,0,2026-03-12 09:03:22
102,17.9950,0.7382,10.9068,1,2026-03-12 09:03:24
103,18.1219,0.7696,12.0476,1,2026-03-12 09:03:26
104,31.1925,0.2573,11.2317,0,2026-03-12 09:03:28
105,21.0675,0.7520,10.2502,1,2026-03-12 09:03:30
106,17.9558,0.7676,11.7591,1,2026-03-12 09:03:32
107,51.9040,0.4108,11.4030,0,2026-03-12 09:03:34
108,17.9449,0.7658,10.4020,1,2026-03-12 09:03:36
109,31.7510,0.4001,11.2440,0,2026-03-12 09:03:38
110,37.1392,0.3135,11.6790,0,2026-03-12 09:03:40
111,41.1025,0.1975,13.2208,0,2026-03-12 09:03:42
112,19.0920,0.7793,10.2813,1,2026-03-12 09:03:44
113,42.3945,0.2252,10.7868,0,2026-03-12 09:03:46
114,38.6656,0.2330,12.6691,0,2026-03-12 09:03:48
115,17.7042,0.8319,9.5206,1,2026-03-12 09:03:50
116,17.5925,0.8764,8.8777,1,2026-03-12 09:03:52
117,36.1614,0.2318,10.9667,0,2026-03-12 09:03:54
118,45.6980,0.1590,11.0870,0,2026-03-12 09:03:56
119,17.3160,0.7273,8.2940,1,2026-03-12 09:03:58
120,18.6004,0.8605,8.9052,1,2026-03-12 09:04:00
121,18.9693,0.8038,8.1838,1,2026-03-12 09:04:02
122,17.2259,0.7602,8.5645,1,2026-03-12 09:04:04
123,16.3228,0.7453,8.5422,1,2026-03-12 09:04:06
124,35.9196,0.2954,12.9149,0,2026-03-12 09:04:08
125,45.2112,0.4356,12.5731,0,2026-03-12 09:04:10
126,33.1752,0.2015,9.9259,0,2026-03-12 09:04:12
127,18.5136,0.8155,10.8914,1,2026-03-12 09:04:14
128,18.2990,0.7926,8.2282,1,2026-03-12 09:04:16
129,31.9520,0.2571,9.7032,0,2026-03-12 09:04:18
130,18.7533,0.8404,8.9197,1,2026-03-12 09:04:20
131,19.1453,0.8219,10.1738,1,2026-03-12 09:04:22
132,15.2168,0.7695,11.1804,1,2026-03-12 09:04:24
133,18.0576,0.7605,9.7862,1,2026-03-12 09:04:26
134,43.1365,0.4642,11.1196,0,2026-03-12 09:04:28
135,18.3558,0.7886,11.3748,1,2026-03-12 09:04:30
136,48.6108,0.4896,11.1866,0,2026-03-12 09:04:32
137,16.7942,0.8275,8.5845,1,2026-03-12 09:04:34
138,31.0931,0.4598,9.0549,0,2026-03-12 09:04:36
139,16.1493,0.8457,9.0618,1,2026-03-12 09:04:38
140,43.2110,0.2021,11.7031,0,2026-03-12 09:04:40
141,16.3572,0.8494,11.3023,1,2026-03-12 09:04:42
142,16.1588,0.8348,8.9457,1,2026-03-12 09:04:44
143,17.8900,0.7802,8.6878,1,2026-03-12 09:04:46
144,17.5574,0.8722,7.9325,1,2026-03-12 09:04:48
145,14.1907,0.7820,10.9252,1,2026-03-12 09:04:50
146,48.0476,0.2182,8.8789,0,2026-03-12 09:04:52
147,16.7620,0.9179,10.4066,1,2026-03-12 09:04:54
148,14.8381,0.8095,10.8838,1,2026-03-12 09:04:56
149,15.9121,0.7777,9.2432,1,2026-03-12 09:04:58
150,14.6750,0.9221,10.3233,1,2026-03-12 09:05:00
151,17.5929,0.8908,7.1109,1,2026-03-12 09:05:02
152,16.4602,0.8803,8.1137,1,2026-03-12 09:05:04
153,17.4500,0.7866,7.0410,1,2026-03-12 09:05:06
154,14.8460,0.8921,7.4084,1,2026-03-12 09:05:08
155,15.5199,0.8872,7.4310,1,2026-03-12 09:05:10
156,15.4085,0.9069,6.8568,1,2026-03-12 09:05:12
157,46.3949,0.4013,11.6647,0,2026-03-12 09:05:14
158,15.6388,0.9267,7.0197,1,2026-03-12 09:05:16
159,39.3493,0.4586,9.2988,0,2026-03-12 09:05:18
160,51.6282,0.3403,8.8833,0,2026-03-12 09:05:20
161,16.0521,0.8318,6.5818,1,2026-03-12 09:05:22
162,13.4018,0.8194,8.9800,1,2026-03-12 09:05:24
163,42.8187,0.2820,9.7341,0,2026-03-12 09:05:26
164,12.5899,0.8445,8.6082,1,2026-03-12 09:05:28
165,15.2278,0.8388,5.7082,1,2026-03-12 09:05:30
166,13.3989,0.8396,7.9224,1,2026-03-12 09:05:32
167,29.7573,0.5234,11.1218,0,2026-03-12 09:05:34
168,42.8747,0.3019,8.3932,0,2026-03-12 09:05:36
169,14.1303,0.8510,8.9405,1,2026-03-12 09:05:38
170,13.0691,0.9166,5.8529,1,2026-03-12 09:05:40
171,15.4182,0.9500,9.6607,1,2026-03-12 09:05:42
172,51.9251,0.2445,8.0858,0,2026-03-12 09:05:44
173,41.6063,0.4658,8.5634,0,2026-03-12 09:05:46
174,14.6392,0.8505,8.0399,1,2026-03-12 09:05:48
175,14.3653,0.9203,7.4200,1,2026-03-12 09:05:50
176,14.2171,0.8665,6.4290,1,2026-03-12 09:05:52
177,12.4643,0.8852,8.7950,1,2026-03-12 09:05:54
178,45.7299,0.4077,7.9130,0,2026-03-12 09:05:56
179,14.5912,0.8940,6.4468,1,2026-03-12 09:05:58
180,37.4783,0.4463,7.4193,0,2026-03-12 09:06:00
181,13.0196,0.8668,9.0011,1,2026-03-12 09:06:02
182,14.7202,0.9280,5.3524,1,2026-03-12 09:06:04
183,11.6402,0.9537,8.0358,1,2026-03-12 09:06:06
184,14.5872,0.9853,4.7947,1,2026-03-12 09:06:08
185,12.2903,0.8427,7.0357,1,2026-03-12 09:06:10
186,12.5522,0.9301,8.7567,1,2026-03-12 09:06:12
187,34.4939,0.3199,9.8306,0,2026-03-12 09:06:14
188,12.4651,0.9682,6.7084,1,2026-03-12 09:06:16
189,11.9711,0.8786,5.4612,1,2026-03-12 09:06:18
190,11.9575,0.9733,6.8484,1,2026-03-12 09:06:20
191,12.3882,0.8693,5.6389,1,2026-03-12 09:06:22
192,12.5153,0.9866,4.2409,1,2026-03-12 09:06:24
193,32.7284,0.3948,7.2381,0,2026-03-12 09:06:26
194,12.2872,0.9280,6.6088,1,2026-03-12 09:06:28
195,11.7962,0.9124,7.6021,1,2026-03-12 09:06:30
196,11.9615,0.9653,6.4191,1,2026-03-12 09:06:32
197,11.9579,0.9591,6.8901,1,2026-03-12 09:06:34
198,10.6571,0.9406,5.2235,1,2026-03-12 09:06:36
199,12.8104,0.9176,6.2339,1,2026-03-12 09:06:38
200,9.8389,0.9412,6.9654,1,2026-03-12 09:06:40
201,35.7108,0.4937,5.8654,0,2026-03-12 09:06:42
202,13.1768,0.9304,5.3155,1,2026-03-12 09:06:44
203,9.6244,0.9895,5.4300,1,2026-03-12 09:06:46
204,10.2094,0.9637,4.8163,1,2026-03-12 09:06:48
205,12.7521,0.9722,6.9932,1,2026-03-12 09:06:50
206,12.7524,0.8995,5.6552,1,2026-03-12 09:06:52
207,11.9350,0.9862,5.5458,1,2026-03-12 09:06:54
208,12.4888,0.8915,7.2699,1,2026-03-12 09:06:56
209,12.0442,0.9413,5.8012,1,2026-03-12 09:06:58
210,41.1065,0.6024,7.0067,0,2026-03-12 09:07:00
211,10.0877,0.9787,4.3541,1,2026-03-12 09:07:02
212,12.3012,1.0000,5.4151,1,2026-03-12 09:07:04
213,9.5636,0.9414,6.0531,1,2026-03-12 09:07:06
214,11.9605,1.0000,3.9649,1,2026-03-12 09:07:08
